"sname";"dname";"confirmed";"dead";"recovered";"active"
"ANDAMAN AND NICOBAR ISLANDS";"NICOBARS";"0";"0";"0";"0"
"ANDAMAN AND NICOBAR ISLANDS";"NORTH AND MIDDLE ANDAMAN";"1";"0";"1";"0"
"ANDAMAN AND NICOBAR ISLANDS";"SOUTH ANDAMAN";"51";"0";"32";"19"
"ANDAMAN AND NICOBAR ISLANDS";"UNKNOWN";"4368";"60";"4161";"147"
"ANDHRA PRADESH";"ANANTAPUR";"65408";"571";"63715";"1122"
"ANDHRA PRADESH";"CHITTOOR";"80182";"792";"77278";"2112"
"ANDHRA PRADESH";"EAST GODAVARI";"118015";"617";"112939";"4459"
"ANDHRA PRADESH";"GUNTUR";"69006";"630";"65291";"3085"
"ANDHRA PRADESH";"KURNOOL";"59661";"482";"58891";"288"
"ANDHRA PRADESH";"PRAKASAM";"60321";"574";"58963";"784"
"ANDHRA PRADESH";"S.P.S. NELLORE";"60123";"487";"59244";"392"
"ANDHRA PRADESH";"VISAKHAPATNAM";"56532";"514";"54305";"1713"
"ANDHRA PRADESH";"WEST GODAVARI";"87936";"504";"85137";"2295"
"ANDHRA PRADESH";"Y.S.R. KADAPA";"52899";"441";"51332";"1126"
"ARUNACHAL PRADESH";"CHANGLANG";"1162";"3";"1134";"25"
"ARUNACHAL PRADESH";"PAPUM PARE";"6390";"21";"5424";"945"
"ASSAM";"CACHAR";"6216";"35";"1498";"4683"
"ASSAM";"DIBRUGARH";"9486";"90";"2409";"6987"
"ASSAM";"GOLAGHAT";"3803";"43";"1656";"2104"
"ASSAM";"JORHAT";"8771";"48";"1752";"6971"
"ASSAM";"KAMRUP";"4590";"30";"2074";"2486"
"ASSAM";"KAMRUP METROPOLITAN";"47895";"131";"14599";"33165"
"ASSAM";"LAKHIMPUR";"3006";"23";"1135";"1848"
"ASSAM";"NAGAON";"4515";"23";"2506";"1986"
"ASSAM";"SONITPUR";"2548";"14";"1727";"807"
"ASSAM";"TINSUKIA";"3366";"33";"1798";"1535"
"BIHAR";"ARARIA";"6615";"18";"6382";"215"
"BIHAR";"BEGUSARAI";"6915";"32";"6828";"55"
"BIHAR";"BHAGALPUR";"8563";"68";"8282";"213"
